status,sheet_row,row_id,column,accepted_value,backend_value
landed,8,1077,Shipowner country/area,,
landed,8,1077,Shipowner country/area [ref],,
landed,9,1078,Shipowner country/area,,
landed,9,1078,Shipowner country/area [ref],,
landed,12,789,Shipowner country/area,,
landed,12,789,Shipowner country/area [ref],,
landed,15,1081,Shipowner country/area,,
landed,15,1081,Shipowner country/area [ref],,
landed,17,697,Shipowner country/area,,
landed,17,697,Shipowner country/area [ref],,
landed,21,971,Shipowner country/area,,
landed,21,971,Shipowner country/area [ref],,
landed,25,968,Shipowner country/area,,
landed,25,968,Shipowner country/area [ref],,
landed,26,974,Shipowner country/area,,
landed,26,974,Shipowner country/area [ref],,
landed,29,726,Shipowner country/area,,
landed,29,726,Shipowner country/area [ref],,
landed,32,979,Shipowner country/area,,
landed,32,979,Shipowner country/area [ref],,
landed,39,727,Shipowner country/area,,
landed,39,727,Shipowner country/area [ref],,
landed,44,696,Shipowner country/area,,
landed,44,696,Shipowner country/area [ref],,
landed,48,688,Shipowner country/area,,
landed,48,688,Shipowner country/area [ref],,
landed,49,689,Shipowner country/area,,
landed,49,689,Shipowner country/area [ref],,
landed,50,693,Shipowner country/area,,
landed,50,693,Shipowner country/area [ref],,
landed,54,780,Shipowner country/area,,
landed,54,780,Shipowner country/area [ref],,
landed,63,1082,Shipowner country/area,,
landed,63,1082,Shipowner country/area [ref],,
landed,64,1083,Shipowner country/area,,
landed,64,1083,Shipowner country/area [ref],,
landed,74,946,Shipowner country/area,,
landed,74,946,Shipowner country/area [ref],,
landed,76,975,Shipowner country/area,,
landed,76,975,Shipowner country/area [ref],,
landed,79,1046,Shipowner country/area,,
landed,79,1046,Shipowner country/area [ref],,
landed,81,416,Shipowner country/area,,
landed,81,416,Shipowner country/area [ref],,
landed,82,453,Shipowner country/area,,
landed,82,453,Shipowner country/area [ref],,
landed,94,970,Shipowner country/area,,
landed,94,970,Shipowner country/area [ref],,
landed,95,980,Shipowner country/area,,
landed,95,980,Shipowner country/area [ref],,
landed,100,332,Shipowner country/area,,
landed,100,332,Shipowner country/area [ref],,
landed,115,973,Shipowner country/area,,
landed,115,973,Shipowner country/area [ref],,
landed,117,1014,Shipowner country/area,,
landed,117,1014,Shipowner country/area [ref],,
landed,128,698,Shipowner country/area,,
landed,128,698,Shipowner country/area [ref],,
landed,133,768,Shipowner country/area,,
landed,133,768,Shipowner country/area [ref],,
landed,136,870,Shipowner country/area,,
landed,136,870,Shipowner country/area [ref],,
landed,140,1015,Shipowner country/area,,
landed,140,1015,Shipowner country/area [ref],,
landed,141,1016,Shipowner country/area,,
landed,141,1016,Shipowner country/area [ref],,
landed,142,1017,Shipowner country/area,,
landed,142,1017,Shipowner country/area [ref],,
landed,157,652,Shipowner country/area,,
landed,157,652,Shipowner country/area [ref],,
landed,158,653,Shipowner country/area,,
landed,158,653,Shipowner country/area [ref],,
landed,159,659,Shipowner country/area,,
landed,159,659,Shipowner country/area [ref],,
landed,161,765,Shipowner country/area,,
landed,161,765,Shipowner country/area [ref],,
landed,163,793,Shipowner country/area,,
landed,163,793,Shipowner country/area [ref],,
landed,166,867,Shipowner country/area,,
landed,166,867,Shipowner country/area [ref],,
landed,171,1018,Shipowner country/area,,
landed,171,1018,Shipowner country/area [ref],,
landed,172,1019,Shipowner country/area,,
landed,172,1019,Shipowner country/area [ref],,
landed,173,1022,Shipowner country/area,,
landed,173,1022,Shipowner country/area [ref],,
landed,174,1031,Shipowner country/area,,
landed,174,1031,Shipowner country/area [ref],,
landed,204,658,Shipowner country/area,,
landed,204,658,Shipowner country/area [ref],,
landed,206,690,Shipowner country/area,,
landed,206,690,Shipowner country/area [ref],,
landed,210,761,Shipowner country/area,,
landed,210,761,Shipowner country/area [ref],,
landed,219,1023,Shipowner country/area,,
landed,219,1023,Shipowner country/area [ref],,
landed,220,1069,Shipowner country/area,,
landed,220,1069,Shipowner country/area [ref],,
landed,224,1075,Shipowner country/area,,
landed,224,1075,Shipowner country/area [ref],,
landed,240,411,Shipowner country/area,,
landed,240,411,Shipowner country/area [ref],,
landed,243,506,Shipowner country/area,,
landed,243,506,Shipowner country/area [ref],,
landed,245,558,Shipowner country/area,,
landed,245,558,Shipowner country/area [ref],,
landed,249,783,Shipowner country/area,,
landed,249,783,Shipowner country/area [ref],,
landed,256,944,Shipowner country/area,,
landed,256,944,Shipowner country/area [ref],,
landed,258,1020,Shipowner country/area,,
landed,258,1020,Shipowner country/area [ref],,
landed,259,1021,Shipowner country/area,,
landed,259,1021,Shipowner country/area [ref],,
landed,262,1065,Shipowner country/area,,
landed,262,1065,Shipowner country/area [ref],,
landed,263,1066,Shipowner country/area,,
landed,263,1066,Shipowner country/area [ref],,
landed,270,374,Shipowner country/area,,
landed,270,374,Shipowner country/area [ref],,
landed,275,627,Shipowner country/area,,
landed,275,627,Shipowner country/area [ref],,
landed,276,630,Shipowner country/area,,
landed,276,630,Shipowner country/area [ref],,
landed,278,868,Shipowner country/area,,
landed,278,868,Shipowner country/area [ref],,
landed,284,987,Shipowner country/area,,
landed,284,987,Shipowner country/area [ref],,
landed,286,1032,Shipowner country/area,,
landed,286,1032,Shipowner country/area [ref],,
landed,287,1067,Shipowner country/area,,
landed,287,1067,Shipowner country/area [ref],,
landed,288,1068,Shipowner country/area,,
landed,288,1068,Shipowner country/area [ref],,
landed,289,1093,Shipowner country/area,,
landed,289,1093,Shipowner country/area [ref],,
landed,295,564,Shipowner country/area,,
landed,295,564,Shipowner country/area [ref],,
landed,307,625,Shipowner country/area,,
landed,307,625,Shipowner country/area [ref],,
landed,308,628,Shipowner country/area,,
landed,308,628,Shipowner country/area [ref],,
landed,312,655,Shipowner country/area,,
landed,312,655,Shipowner country/area [ref],,
landed,327,504,Shipowner country/area,,
landed,327,504,Shipowner country/area [ref],,
landed,336,725,Shipowner country/area,,
landed,336,725,Shipowner country/area [ref],,
landed,345,942,Shipowner country/area,,
landed,345,942,Shipowner country/area [ref],,
landed,346,947,Shipowner country/area,,
landed,346,947,Shipowner country/area [ref],,
landed,349,1013,Shipowner country/area,,
landed,349,1013,Shipowner country/area [ref],,
landed,350,1055,Shipowner country/area,,
landed,350,1055,Shipowner country/area [ref],,
landed,352,1138,Shipowner country/area,,
landed,352,1138,Shipowner country/area [ref],,
landed,385,615,Shipowner country/area,,
landed,385,615,Shipowner country/area [ref],,
landed,386,618,Shipowner country/area,,
landed,386,618,Shipowner country/area [ref],,
landed,387,620,Shipowner country/area,,
landed,387,620,Shipowner country/area [ref],,
landed,388,621,Shipowner country/area,,
landed,388,621,Shipowner country/area [ref],,
landed,391,742,Shipowner country/area,,
landed,391,742,Shipowner country/area [ref],,
landed,406,988,Shipowner country/area,,
landed,406,988,Shipowner country/area [ref],,
landed,423,694,Shipowner country/area,,
landed,423,694,Shipowner country/area [ref],,
landed,424,695,Shipowner country/area,,
landed,424,695,Shipowner country/area [ref],,
landed,448,526,Shipowner country/area,,
landed,448,526,Shipowner country/area [ref],,
landed,449,527,Shipowner country/area,,
landed,449,527,Shipowner country/area [ref],,
landed,457,616,Shipowner country/area,,
landed,457,616,Shipowner country/area [ref],,
landed,458,622,Shipowner country/area,,
landed,458,622,Shipowner country/area [ref],,
landed,459,623,Shipowner country/area,,
landed,459,623,Shipowner country/area [ref],,
landed,465,803,Shipowner country/area,,
landed,465,803,Shipowner country/area [ref],,
landed,477,945,Shipowner country/area,,
landed,477,945,Shipowner country/area [ref],,
landed,491,323,Shipowner country/area,,
landed,491,323,Shipowner country/area [ref],,
landed,495,430,Shipowner country/area,,
landed,495,430,Shipowner country/area [ref],,
landed,498,528,Shipowner country/area,,
landed,498,528,Shipowner country/area [ref],,
landed,499,563,Shipowner country/area,,
landed,499,563,Shipowner country/area [ref],,
landed,504,619,Shipowner country/area,,
landed,504,619,Shipowner country/area [ref],,
landed,505,634,Shipowner country/area,,
landed,505,634,Shipowner country/area [ref],,
landed,513,852,Shipowner country/area,,
landed,513,852,Shipowner country/area [ref],,
landed,522,964,Shipowner country/area,,
landed,522,964,Shipowner country/area [ref],,
landed,523,965,Shipowner country/area,,
landed,523,965,Shipowner country/area [ref],,
landed,524,986,Shipowner country/area,,
landed,524,986,Shipowner country/area [ref],,
landed,533,381,Shipowner country/area,,
landed,533,381,Shipowner country/area [ref],,
landed,534,395,Shipowner country/area,,
landed,534,395,Shipowner country/area [ref],,
landed,535,418,Shipowner country/area,,
landed,535,418,Shipowner country/area [ref],,
landed,538,463,Shipowner country/area,,
landed,538,463,Shipowner country/area [ref],,
landed,541,525,Shipowner country/area,,
landed,541,525,Shipowner country/area [ref],,
landed,542,532,Shipowner country/area,,
landed,542,532,Shipowner country/area [ref],,
landed,550,617,Shipowner country/area,,
landed,550,617,Shipowner country/area [ref],,
landed,551,633,Shipowner country/area,,
landed,551,633,Shipowner country/area [ref],,
landed,552,636,Shipowner country/area,,
landed,552,636,Shipowner country/area [ref],,
landed,553,638,Shipowner country/area,,
landed,553,638,Shipowner country/area [ref],,
landed,556,743,Shipowner country/area,,
landed,556,743,Shipowner country/area [ref],,
landed,561,955,Shipowner country/area,,
landed,561,955,Shipowner country/area [ref],,
landed,562,982,Shipowner country/area,,
landed,562,982,Shipowner country/area [ref],,
landed,564,1084,Shipowner country/area,,
landed,564,1084,Shipowner country/area [ref],,
landed,566,1102,Shipowner country/area,,
landed,566,1102,Shipowner country/area [ref],,
landed,568,322,Shipowner country/area,,
landed,568,322,Shipowner country/area [ref],,
landed,569,393,Shipowner country/area,,
landed,569,393,Shipowner country/area [ref],,
landed,570,394,Shipowner country/area,,
landed,570,394,Shipowner country/area [ref],,
landed,571,406,Shipowner country/area,,
landed,571,406,Shipowner country/area [ref],,
landed,572,409,Shipowner country/area,,
landed,572,409,Shipowner country/area [ref],,
landed,575,460,Shipowner country/area,,
landed,575,460,Shipowner country/area [ref],,
landed,576,461,Shipowner country/area,,
landed,576,461,Shipowner country/area [ref],,
landed,577,462,Shipowner country/area,,
landed,577,462,Shipowner country/area [ref],,
landed,578,492,Shipowner country/area,,
landed,578,492,Shipowner country/area [ref],,
landed,580,524,Shipowner country/area,,
landed,580,524,Shipowner country/area [ref],,
landed,581,529,Shipowner country/area,,
landed,581,529,Shipowner country/area [ref],,
landed,592,614,Shipowner country/area,,
landed,592,614,Shipowner country/area [ref],,
landed,593,635,Shipowner country/area,,
landed,593,635,Shipowner country/area [ref],,
landed,594,637,Shipowner country/area,,
landed,594,637,Shipowner country/area [ref],,
landed,597,656,Shipowner country/area,,
landed,597,656,Shipowner country/area [ref],,
landed,605,771,Shipowner country/area,,
landed,605,771,Shipowner country/area [ref],,
landed,606,772,Shipowner country/area,,
landed,606,772,Shipowner country/area [ref],,
landed,607,773,Shipowner country/area,,
landed,607,773,Shipowner country/area [ref],,
landed,609,808,Shipowner country/area,,
landed,609,808,Shipowner country/area [ref],,
landed,610,809,Shipowner country/area,,
landed,610,809,Shipowner country/area [ref],,
landed,611,810,Shipowner country/area,,
landed,611,810,Shipowner country/area [ref],,
landed,622,966,Shipowner country/area,,
landed,622,966,Shipowner country/area [ref],,
landed,623,985,Shipowner country/area,,
landed,623,985,Shipowner country/area [ref],,
landed,626,376,Shipowner country/area,,
landed,626,376,Shipowner country/area [ref],,
landed,632,539,Shipowner country/area,,
landed,632,539,Shipowner country/area [ref],,
landed,634,657,Shipowner country/area,,
landed,634,657,Shipowner country/area [ref],,
landed,635,687,Shipowner country/area,,
landed,635,687,Shipowner country/area [ref],,
landed,639,816,Shipowner country/area,,
landed,639,816,Shipowner country/area [ref],,
landed,645,967,Shipowner country/area,,
landed,645,967,Shipowner country/area [ref],,
landed,646,992,Shipowner country/area,,
landed,646,992,Shipowner country/area [ref],,
landed,647,1036,Shipowner country/area,,
landed,647,1036,Shipowner country/area [ref],,
landed,653,382,Shipowner country/area,,
landed,653,382,Shipowner country/area [ref],,
landed,654,407,Shipowner country/area,,
landed,654,407,Shipowner country/area [ref],,
landed,655,464,Shipowner country/area,,
landed,655,464,Shipowner country/area [ref],,
landed,656,465,Shipowner country/area,,
landed,656,465,Shipowner country/area [ref],,
landed,661,543,Shipowner country/area,,
landed,661,543,Shipowner country/area [ref],,
landed,663,592,Shipowner country/area,,
landed,663,592,Shipowner country/area [ref],,
landed,664,594,Shipowner country/area,,
landed,664,594,Shipowner country/area [ref],,
landed,665,651,Shipowner country/area,,
landed,665,651,Shipowner country/area [ref],,
landed,666,661,Shipowner country/area,,
landed,666,661,Shipowner country/area [ref],,
landed,667,741,Shipowner country/area,,
landed,667,741,Shipowner country/area [ref],,
landed,669,750,Shipowner country/area,,
landed,669,750,Shipowner country/area [ref],,
landed,677,953,Shipowner country/area,,
landed,677,953,Shipowner country/area [ref],,
landed,678,990,Shipowner country/area,,
landed,678,990,Shipowner country/area [ref],,
landed,679,1029,Shipowner country/area,,
landed,679,1029,Shipowner country/area [ref],,
landed,680,1030,Shipowner country/area,,
landed,680,1030,Shipowner country/area [ref],,
landed,701,70,Shipowner country/area,,
landed,701,70,Shipowner country/area [ref],,
landed,703,77,Shipowner country/area,,
landed,703,77,Shipowner country/area [ref],,
landed,704,79,Shipowner country/area,,
landed,704,79,Shipowner country/area [ref],,
landed,709,101,Shipowner country/area,,
landed,709,101,Shipowner country/area [ref],,
landed,710,108,Shipowner country/area,,
landed,710,108,Shipowner country/area [ref],,
landed,711,149,Shipowner country/area,,
landed,711,149,Shipowner country/area [ref],,
landed,716,174,Shipowner country/area,,
landed,716,174,Shipowner country/area [ref],,
landed,717,175,Shipowner country/area,,
landed,717,175,Shipowner country/area [ref],,
landed,718,176,Shipowner country/area,,
landed,718,176,Shipowner country/area [ref],,
landed,719,177,Shipowner country/area,,
landed,719,177,Shipowner country/area [ref],,
landed,720,179,Shipowner country/area,,
landed,720,179,Shipowner country/area [ref],,
landed,721,225,Shipowner country/area,,
landed,721,225,Shipowner country/area [ref],,
landed,724,229,Shipowner country/area,,
landed,724,229,Shipowner country/area [ref],,
landed,726,325,Shipowner country/area,,
landed,726,325,Shipowner country/area [ref],,
landed,728,385,Shipowner country/area,,
landed,728,385,Shipowner country/area [ref],,
landed,729,410,Shipowner country/area,,
landed,729,410,Shipowner country/area [ref],,
landed,731,466,Shipowner country/area,,
landed,731,466,Shipowner country/area [ref],,
landed,733,540,Shipowner country/area,,
landed,733,540,Shipowner country/area [ref],,
landed,736,678,Shipowner country/area,,
landed,736,678,Shipowner country/area [ref],,
landed,737,702,Shipowner country/area,,
landed,737,702,Shipowner country/area [ref],,
landed,741,859,Shipowner country/area,,
landed,741,859,Shipowner country/area [ref],,
landed,746,977,Shipowner country/area,,
landed,746,977,Shipowner country/area [ref],,
landed,756,93,Shipowner country/area,,
landed,756,93,Shipowner country/area [ref],,
landed,757,95,Shipowner country/area,,
landed,757,95,Shipowner country/area [ref],,
landed,760,105,Shipowner country/area,,
landed,760,105,Shipowner country/area [ref],,
landed,771,121,Shipowner country/area,,
landed,771,121,Shipowner country/area [ref],,
landed,772,180,Shipowner country/area,,
landed,772,180,Shipowner country/area [ref],,
landed,773,182,Shipowner country/area,,
landed,773,182,Shipowner country/area [ref],,
landed,774,183,Shipowner country/area,,
landed,774,183,Shipowner country/area [ref],,
landed,775,226,Shipowner country/area,,
landed,775,226,Shipowner country/area [ref],,
landed,776,230,Shipowner country/area,,
landed,776,230,Shipowner country/area [ref],,
landed,778,261,Shipowner country/area,,
landed,778,261,Shipowner country/area [ref],,
landed,779,262,Shipowner country/area,,
landed,779,262,Shipowner country/area [ref],,
landed,782,276,Shipowner country/area,,
landed,782,276,Shipowner country/area [ref],,
landed,783,277,Shipowner country/area,,
landed,783,277,Shipowner country/area [ref],,
landed,784,288,Shipowner country/area,,
landed,784,288,Shipowner country/area [ref],,
landed,796,701,Shipowner country/area,,
landed,796,701,Shipowner country/area [ref],,
landed,801,849,Shipowner country/area,,
landed,801,849,Shipowner country/area [ref],,
landed,802,864,Shipowner country/area,,
landed,802,864,Shipowner country/area [ref],,
landed,811,972,Shipowner country/area,,
landed,811,972,Shipowner country/area [ref],,
landed,820,1107,Shipowner country/area,,
landed,820,1107,Shipowner country/area [ref],,
landed,821,1111,Shipowner country/area,,
landed,821,1111,Shipowner country/area [ref],,
landed,822,1132,Shipowner country/area,,
landed,822,1132,Shipowner country/area [ref],,
landed,841,30,Shipowner country/area,,
landed,841,30,Shipowner country/area [ref],,
landed,861,63,Shipowner country/area,,
landed,861,63,Shipowner country/area [ref],,
landed,862,64,Shipowner country/area,,
landed,862,64,Shipowner country/area [ref],,
landed,863,65,Shipowner country/area,,
landed,863,65,Shipowner country/area [ref],,
landed,864,66,Shipowner country/area,,
landed,864,66,Shipowner country/area [ref],,
landed,869,109,Shipowner country/area,,
landed,869,109,Shipowner country/area [ref],,
landed,879,137,Shipowner country/area,,
landed,879,137,Shipowner country/area [ref],,
landed,881,144,Shipowner country/area,,
landed,881,144,Shipowner country/area [ref],,
landed,884,181,Shipowner country/area,,
landed,884,181,Shipowner country/area [ref],,
landed,885,184,Shipowner country/area,,
landed,885,184,Shipowner country/area [ref],,
landed,886,185,Shipowner country/area,,
landed,886,185,Shipowner country/area [ref],,
landed,887,186,Shipowner country/area,,
landed,887,186,Shipowner country/area [ref],,
landed,888,187,Shipowner country/area,,
landed,888,187,Shipowner country/area [ref],,
landed,889,188,Shipowner country/area,,
landed,889,188,Shipowner country/area [ref],,
landed,890,189,Shipowner country/area,,
landed,890,189,Shipowner country/area [ref],,
landed,891,190,Shipowner country/area,,
landed,891,190,Shipowner country/area [ref],,
landed,892,191,Shipowner country/area,,
landed,892,191,Shipowner country/area [ref],,
landed,893,192,Shipowner country/area,,
landed,893,192,Shipowner country/area [ref],,
landed,894,193,Shipowner country/area,,
landed,894,193,Shipowner country/area [ref],,
landed,895,194,Shipowner country/area,,
landed,895,194,Shipowner country/area [ref],,
landed,896,195,Shipowner country/area,,
landed,896,195,Shipowner country/area [ref],,
landed,898,197,Shipowner country/area,,
landed,898,197,Shipowner country/area [ref],,
landed,899,231,Shipowner country/area,,
landed,899,231,Shipowner country/area [ref],,
landed,900,232,Shipowner country/area,,
landed,900,232,Shipowner country/area [ref],,
landed,901,233,Shipowner country/area,,
landed,901,233,Shipowner country/area [ref],,
landed,902,235,Shipowner country/area,,
landed,902,235,Shipowner country/area [ref],,
landed,903,236,Shipowner country/area,,
landed,903,236,Shipowner country/area [ref],,
landed,906,241,Shipowner country/area,,
landed,906,241,Shipowner country/area [ref],,
landed,907,251,Shipowner country/area,,
landed,907,251,Shipowner country/area [ref],,
landed,908,252,Shipowner country/area,,
landed,908,252,Shipowner country/area [ref],,
landed,909,263,Shipowner country/area,,
landed,909,263,Shipowner country/area [ref],,
landed,910,264,Shipowner country/area,,
landed,910,264,Shipowner country/area [ref],,
landed,911,265,Shipowner country/area,,
landed,911,265,Shipowner country/area [ref],,
landed,917,273,Shipowner country/area,,
landed,917,273,Shipowner country/area [ref],,
landed,918,274,Shipowner country/area,,
landed,918,274,Shipowner country/area [ref],,
landed,923,289,Shipowner country/area,,
landed,923,289,Shipowner country/area [ref],,
landed,926,324,Shipowner country/area,,
landed,926,324,Shipowner country/area [ref],,
landed,928,373,Shipowner country/area,,
landed,928,373,Shipowner country/area [ref],,
landed,929,375,Shipowner country/area,,
landed,929,375,Shipowner country/area [ref],,
landed,930,384,Shipowner country/area,,
landed,930,384,Shipowner country/area [ref],,
landed,931,386,Shipowner country/area,,
landed,931,386,Shipowner country/area [ref],,
landed,937,708,Shipowner country/area,,
landed,937,708,Shipowner country/area [ref],,
landed,938,709,Shipowner country/area,,
landed,938,709,Shipowner country/area [ref],,
landed,939,710,Shipowner country/area,,
landed,939,710,Shipowner country/area [ref],,
landed,940,714,Shipowner country/area,,
landed,940,714,Shipowner country/area [ref],,
landed,943,1092,Shipowner country/area,,
